List_1,List_2
а/м,сою
а\\м,соя
автомобиль ,зерно
автомобили ,кукуруз
транспорт,масло
транспсредс,молок
легков,молоч
тягач,мясн
вин,мясо
vin,овощ
viн:,подсолн
fоrd,пшениц
форд,рис
кiа,с/хпрод
кия,с/хтовар
киамiтsuвisнi,с\\хпрод
мицубиси,с\\хтовар
нissан,сахар
ниссан,сельскпрод
sсанiа,сельсктовар
вмw,сельхозпрод
бмв,сельхозтовар
аudi,семен
ауди,семечк
jеер,сено
джип,соев
vоlvо,фрукт
вольво,яиц
тоyота,ячмен
тойота,картоф
тоиота,томат
нyuнdаi,говя
хендай,свин
rенаulт,курин
рено,куриц
реugеот,рыб
пежо,алко
lаdа,чаи
лада,кофе
dатsuн,чипс
додж,напит
меrсеdеs,бакале
мерседес,конфет
vоlкswаgен,колбас
фольксваген,морож
sкоdа,с/м
шкода,с\\м
самосвал,консерв
rover,пищев
ровер,питан
,сыр
,макарон
,лосос
,треск
,саир
,филе
,хек
,хлеб
,какао
,кондитер
,пиво
,ликер
