ClientId,ClientName,Type,Form,RegisterDate,TotalAmt,CutoffDt
1,Клиент 1,Ф,-,2020-11-01,1697988.80,2020-11-02
1,Клиент 1,Ф,-,2020-11-01,2349861.85,2020-11-01
1,Клиент 1,Ф,-,2020-11-01,983401.12,2020-11-03
2,Клиент 2,Ю,ООО,2020-11-02,2554499.55,2020-11-02
2,Клиент 2,Ю,ООО,2020-11-02,1504469.43,2020-11-03
2,Клиент 2,Ю,ООО,2020-11-02,1526057.60,2020-11-04
3,Клиент 3,Ф,-,2020-11-03,1372137.40,2020-11-01
3,Клиент 3,Ф,-,2020-11-03,2858492.63,2020-11-03
3,Клиент 3,Ф,-,2020-11-03,1110291.49,2020-11-04
4,Клиент 4,Ю,ИП,2020-11-04,2350017.40,2020-11-04
4,Клиент 4,Ю,ИП,2020-11-04,1698092.02,2020-11-01
4,Клиент 4,Ю,ИП,2020-11-04,983477.24,2020-11-02
5,Клиент 5,Ф,-,2020-11-01,2554678.90,2020-11-01
5,Клиент 5,Ф,-,2020-11-01,1526160.80,2020-11-03
5,Клиент 5,Ф,-,2020-11-01,1504548.86,2020-11-02
6,Клиент 6,Ю,АО,2020-11-02,1372216.82,2020-11-04
6,Клиент 6,Ю,АО,2020-11-02,1110367.61,2020-11-03
6,Клиент 6,Ю,АО,2020-11-02,2858675.26,2020-11-02
7,Клиент 7,Ф,-,2020-11-03,983553.36,2020-11-01
7,Клиент 7,Ф,-,2020-11-03,1698195.20,2020-11-04
7,Клиент 7,Ф,-,2020-11-03,2350172.95,2020-11-03
8,Клиент 8,Ю,ПАО,2020-11-01,2554858.18,2020-11-04
8,Клиент 8,Ю,ПАО,2020-11-01,1504628.29,2020-11-01
8,Клиент 8,Ю,ПАО,2020-11-01,1526264.00,2020-11-02
9,Клиент 9,Ф,-,2020-11-02,1110443.73,2020-11-02
9,Клиент 9,Ф,-,2020-11-02,2858857.89,2020-11-01
9,Клиент 9,Ф,-,2020-11-02,1372296.25,2020-11-03
10,Клиент 10,Ю,ООО,2020-11-03,983629.48,2020-11-04
10,Клиент 10,Ю,ООО,2020-11-03,2350328.50,2020-11-02
10,Клиент 10,Ю,ООО,2020-11-03,1698298.40,2020-11-03
11,Клиент 11,Ф,-,2020-11-04,2555037.50,2020-11-03
11,Клиент 11,Ф,-,2020-11-04,1526367.20,2020-11-01
11,Клиент 11,Ф,-,2020-11-04,1504707.72,2020-11-04
12,Клиент 12,Ю,ИП,2020-11-01,1372375.68,2020-11-02
12,Клиент 12,Ю,ИП,2020-11-01,1110519.85,2020-11-01
12,Клиент 12,Ю,ИП,2020-11-01,2859040.52,2020-11-04
13,Клиент 13,Ф,-,2020-11-02,2350484.05,2020-11-01
13,Клиент 13,Ф,-,2020-11-02,983705.61,2020-11-03
13,Клиент 13,Ф,-,2020-11-02,1698401.60,2020-11-02
14,Клиент 14,Ю,АО,2020-11-03,2555216.82,2020-11-02
14,Клиент 14,Ю,АО,2020-11-03,1526470.40,2020-11-04
14,Клиент 14,Ю,АО,2020-11-03,1504787.17,2020-11-03
15,Клиент 15,Ф,-,2020-11-01,2859223.19,2020-11-03
15,Клиент 15,Ф,-,2020-11-01,1372455.11,2020-11-01
15,Клиент 15,Ф,-,2020-11-01,1110595.97,2020-11-04
16,Клиент 16,Ю,ПАО,2020-11-02,2350639.60,2020-11-04
16,Клиент 16,Ю,ПАО,2020-11-02,983781.71,2020-11-02
16,Клиент 16,Ю,ПАО,2020-11-02,1698504.80,2020-11-01
17,Клиент 17,Ф,-,2020-11-03,2555396.14,2020-11-01
17,Клиент 17,Ф,-,2020-11-03,1526573.60,2020-11-03
17,Клиент 17,Ф,-,2020-11-03,1504866.59,2020-11-02
18,Клиент 18,Ю,ООО,2020-11-04,1372534.54,2020-11-04
18,Клиент 18,Ю,ООО,2020-11-04,1110672.09,2020-11-03
18,Клиент 18,Ю,ООО,2020-11-04,2859405.79,2020-11-02
19,Клиент 19,Ф,-,2020-11-01,2350795.15,2020-11-03
19,Клиент 19,Ф,-,2020-11-01,1698608.00,2020-11-04
19,Клиент 19,Ф,-,2020-11-01,983857.83,2020-11-01
20,Клиент 20,Ю,ИП,2020-11-02,2555575.46,2020-11-04
20,Клиент 20,Ю,ИП,2020-11-02,1526676.80,2020-11-02
20,Клиент 20,Ю,ИП,2020-11-02,1504946.02,2020-11-01
21,Клиент 21,Ф,-,2020-11-03,2859588.42,2020-11-01
21,Клиент 21,Ф,-,2020-11-03,1372613.97,2020-11-03
21,Клиент 21,Ф,-,2020-11-03,1110748.21,2020-11-02
22,Клиент 22,Ю,АО,2020-11-01,983933.95,2020-11-04
22,Клиент 22,Ю,АО,2020-11-01,2350950.70,2020-11-02
22,Клиент 22,Ю,АО,2020-11-01,1698711.20,2020-11-03
23,Клиент 23,Ф,-,2020-11-02,2555754.78,2020-11-03
23,Клиент 23,Ф,-,2020-11-02,1505025.45,2020-11-04
23,Клиент 23,Ф,-,2020-11-02,1526780.02,2020-11-01
24,Клиент 24,Ю,ПАО,2020-11-03,2859771.05,2020-11-04
24,Клиент 24,Ю,ПАО,2020-11-03,1110824.34,2020-11-01
24,Клиент 24,Ю,ПАО,2020-11-03,1372693.40,2020-11-02
25,Клиент 25,Ф,-,2020-11-04,984010.07,2020-11-03
25,Клиент 25,Ф,-,2020-11-04,1698814.40,2020-11-02
25,Клиент 25,Ф,-,2020-11-04,2351106.28,2020-11-01
26,Клиент 26,Ю,ООО,2020-11-01,1526883.20,2020-11-04
26,Клиент 26,Ю,ООО,2020-11-01,2555934.10,2020-11-02
26,Клиент 26,Ю,ООО,2020-11-01,1505104.88,2020-11-03
27,Клиент 27,Ф,-,2020-11-02,1372772.83,2020-11-01
27,Клиент 27,Ф,-,2020-11-02,1110900.44,2020-11-04
27,Клиент 27,Ф,-,2020-11-02,2859953.68,2020-11-03
28,Клиент 28,Ю,ИП,2020-11-03,2351261.80,2020-11-04
28,Клиент 28,Ю,ИП,2020-11-03,984086.19,2020-11-02
28,Клиент 28,Ю,ИП,2020-11-03,1698917.60,2020-11-01
29,Клиент 29,Ф,-,2020-11-01,1505184.31,2020-11-02
29,Клиент 29,Ф,-,2020-11-01,2556113.42,2020-11-01
29,Клиент 29,Ф,-,2020-11-01,1526986.40,2020-11-03
30,Клиент 30,Ю,АО,2020-11-02,1372852.26,2020-11-04
30,Клиент 30,Ю,АО,2020-11-02,2860136.31,2020-11-02
30,Клиент 30,Ю,АО,2020-11-02,1110976.56,2020-11-03
31,Клиент 31,Ф,-,2020-11-03,1699020.80,2020-11-04
31,Клиент 31,Ф,-,2020-11-03,984162.31,2020-11-01
31,Клиент 31,Ф,-,2020-11-03,2351417.35,2020-11-03
32,Клиент 32,Ю,ПАО,2020-11-04,1505263.74,2020-11-01
32,Клиент 32,Ю,ПАО,2020-11-04,1527089.60,2020-11-02
32,Клиент 32,Ю,ПАО,2020-11-04,2556292.74,2020-11-04
33,Клиент 33,Ф,-,2020-11-01,2860318.94,2020-11-01
33,Клиент 33,Ф,-,2020-11-01,1111052.68,2020-11-02
33,Клиент 33,Ф,-,2020-11-01,1372931.71,2020-11-03
34,Клиент 34,Ю,ООО,2020-11-02,2351572.90,2020-11-02
34,Клиент 34,Ю,ООО,2020-11-02,984238.43,2020-11-04
34,Клиент 34,Ю,ООО,2020-11-02,1699124.02,2020-11-03
35,Клиент 35,Ф,-,2020-11-03,1505343.17,2020-11-04
