AccountId,ClientId,PaymentAmt,EnrollmentAmt,TaxAmt,ClearAmt,CarsAmt,FoodAmt,FLAmt,CutoffDt
1,1,0.00,1697988.80,0.00,0.00,0.00,722086.05,0.00,2020-11-02
1,1,1239646.48,0.00,0.00,0.00,1239646.38,0.00,1239646.48,2020-11-01
2,2,856510.75,0.00,0.00,0.00,848510.55,0.00,0.00,2020-11-02
2,2,0.00,1504469.43,0.00,0.00,0.00,0.00,0.00,2020-11-03
3,3,1354023.20,0.00,1354023.20,0.00,1354023.20,0.00,1354023.20,2020-11-03
3,3,0.00,1110291.49,0.00,0.00,0.00,561642.09,0.00,2020-11-04
4,4,1239725.91,0.00,1239725.91,0.00,1233725.51,0.00,0.00,2020-11-04
4,4,0.00,1698092.02,0.00,0.00,0.00,0.00,0.00,2020-11-01
5,5,0.00,1504548.86,0.00,0.00,0.00,401198.14,0.00,2020-11-02
5,5,856586.88,0.00,0.00,0.00,856586.88,0.00,856586.88,2020-11-01
6,6,1354126.40,0.00,1354126.40,0.00,1350125.80,0.00,0.00,2020-11-02
6,6,0.00,1110367.61,0.00,1110367.61,0.00,0.00,0.00,2020-11-03
7,7,1239805.34,0.00,1239805.34,0.00,1239805.34,0.00,1239805.34,2020-11-03
7,7,0.00,1698195.20,0.00,0.00,0.00,240754.18,0.00,2020-11-04
8,8,856662.98,0.00,856662.98,0.00,854662.18,0.00,0.00,2020-11-04
8,8,0.00,1504628.29,0.00,1504628.29,0.00,0.00,0.00,2020-11-01
9,9,1354229.60,0.00,1354229.60,0.00,1354229.60,0.00,1354229.60,2020-11-01
9,9,0.00,1110443.73,0.00,0.00,0.00,80310.23,0.00,2020-11-02
10,10,1239884.77,0.00,0.00,0.00,1239883.77,0.00,0.00,2020-11-02
10,10,0.00,1698298.40,0.00,0.00,0.00,722158.25,0.00,2020-11-03
11,11,856739.10,0.00,0.00,0.00,848738.00,0.00,856739.10,2020-11-03
11,11,0.00,1504707.72,0.00,0.00,0.00,0.00,0.00,2020-11-04
12,12,1354332.80,0.00,1354332.80,0.00,1354332.80,0.00,0.00,2020-11-04
12,12,0.00,1110519.85,0.00,0.00,0.00,561714.30,0.00,2020-11-01
13,13,0.00,1698401.60,0.00,0.00,0.00,0.00,0.00,2020-11-02
13,13,1239964.20,0.00,1239964.20,0.00,1233962.90,0.00,1239964.20,2020-11-01
14,14,856815.22,0.00,0.00,0.00,856815.22,0.00,0.00,2020-11-02
14,14,0.00,1504787.17,0.00,0.00,0.00,401270.35,0.00,2020-11-03
15,15,1354436.02,0.00,1354436.02,0.00,1350434.52,0.00,1354436.02,2020-11-03
15,15,0.00,1110595.97,0.00,0.00,0.00,0.00,0.00,2020-11-04
16,16,0.00,1698504.80,0.00,0.00,0.00,240826.39,0.00,2020-11-01
16,16,1240043.63,0.00,1240043.63,0.00,1240043.63,0.00,0.00,2020-11-04
17,17,0.00,1504866.59,0.00,0.00,0.00,0.00,0.00,2020-11-02
17,17,856891.34,0.00,0.00,0.00,854889.64,0.00,856891.34,2020-11-01
18,18,0.00,1110672.09,0.00,1110672.09,0.00,80382.44,0.00,2020-11-03
18,18,1354539.20,0.00,0.00,0.00,1354539.20,0.00,0.00,2020-11-02
19,19,1240123.06,0.00,0.00,0.00,1240121.16,0.00,1240123.06,2020-11-03
19,19,0.00,1698608.00,0.00,1698608.00,0.00,722230.46,0.00,2020-11-04
20,20,856967.46,0.00,0.00,0.00,848965.46,0.00,0.00,2020-11-04
20,20,0.00,1504946.02,0.00,0.00,0.00,0.00,0.00,2020-11-01
21,21,0.00,1110748.21,0.00,0.00,0.00,561786.51,0.00,2020-11-02
21,21,1354642.40,0.00,0.00,0.00,1354642.40,0.00,1354642.40,2020-11-01
22,22,0.00,1698711.20,0.00,1698711.20,0.00,0.00,0.00,2020-11-03
22,22,1240202.49,0.00,1240202.49,0.00,1234200.29,0.00,0.00,2020-11-02
23,23,857043.58,0.00,857043.58,0.00,857043.58,0.00,857043.58,2020-11-03
23,23,0.00,1505025.45,0.00,1505025.45,0.00,401342.55,0.00,2020-11-04
24,24,1354745.60,0.00,0.00,0.00,1350743.20,0.00,0.00,2020-11-04
24,24,0.00,1110824.34,0.00,0.00,0.00,0.00,0.00,2020-11-01
25,25,1240281.94,0.00,0.00,0.00,1240281.94,0.00,1240281.94,2020-11-01
25,25,0.00,1698814.40,0.00,1698814.40,0.00,240898.60,0.00,2020-11-02
26,26,857119.70,0.00,857119.70,0.00,855117.10,0.00,0.00,2020-11-02
26,26,0.00,1505104.88,0.00,1505104.88,0.00,0.00,0.00,2020-11-03
27,27,0.00,1110900.44,0.00,1110900.44,0.00,80454.64,0.00,2020-11-04
27,27,1354848.80,0.00,1354848.80,0.00,1354848.80,0.00,1354848.80,2020-11-03
28,28,1240361.36,0.00,0.00,0.00,1240358.56,0.00,0.00,2020-11-04
28,28,0.00,1698917.60,0.00,1698917.60,0.00,722302.67,0.00,2020-11-01
29,29,0.00,1505184.31,0.00,1505184.31,0.00,0.00,0.00,2020-11-02
29,29,857195.82,0.00,0.00,0.00,849192.92,0.00,857195.82,2020-11-01
30,30,0.00,1110976.56,0.00,0.00,0.00,561858.71,0.00,2020-11-03
30,30,1354952.00,0.00,1354952.00,0.00,1354952.00,0.00,0.00,2020-11-02
31,31,0.00,1699020.80,0.00,1699020.80,0.00,0.00,0.00,2020-11-04
31,31,1240440.79,0.00,1240440.79,0.00,1234437.69,0.00,1240440.79,2020-11-03
32,32,0.00,1505263.74,0.00,1505263.74,0.00,401414.76,0.00,2020-11-01
32,32,857271.94,0.00,857271.94,0.00,857271.94,0.00,0.00,2020-11-04
33,33,0.00,1111052.68,0.00,1111052.68,0.00,0.00,0.00,2020-11-02
33,33,1355055.20,0.00,1355055.20,0.00,1351051.90,0.00,1355055.20,2020-11-01
34,34,1240520.22,0.00,1240520.22,0.00,1240520.22,0.00,0.00,2020-11-02
34,34,0.00,1699124.02,0.00,1699124.02,0.00,240970.81,0.00,2020-11-03
35,35,0.00,1505343.17,0.00,1505343.17,0.00,0.00,0.00,2020-11-04
35,35,857348.07,0.00,857348.07,0.00,855344.57,0.00,857348.07,2020-11-03
36,36,0.00,1111128.80,0.00,1111128.80,0.00,80526.85,0.00,2020-11-01
36,36,1355158.40,0.00,0.00,0.00,1355158.40,0.00,0.00,2020-11-04
37,37,0.00,1699227.20,0.00,0.00,0.00,722374.87,0.00,2020-11-02
